Código;Descripción;Unidad;Sub Grupo;Grupo
3721;ADHESIVO BOND CARTA PAQ X 100 UN;PAQUETE;PAPELERIA;PAPELERIA
3720;ADHESIVO ROTULO PARA CD PAQ X 50 UN;PAQUETE;PAPELERIA;PAPELERIA
2937;AGENDA TAMAÑO CARTA;UNIDAD;PAPELERIA;PAPELERIA
2894;ALMOHADILLA PARA SELLOS GRANDE;UNIDAD;PAPELERIA;PAPELERIA
2819;ARCHIVADOR AZ FOLDER CARTA;UNIDAD;PAPELERIA;PAPELERIA
1738;ARCHIVADOR AZ FOLDER OFICIO;UNIDAD;PAPELERIA;PAPELERIA
2431;ARCHIVADOR FUELLE TIPO MALETIN 13 BOLSILLOS;UNIDAD;PAPELERIA;PAPELERIA
2565;BANDA DE CAUCHO PAQUETE X 1000 UN;PAQUETE;PAPELERIA;PAPELERIA
