Código;Descripción;Unidad;Sub Grupo;Grupo
1230;TORNIQUETE SINTETICO AZUL;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
1454;TRANSPORE 1 X 10 YDAS 3M CAJA X 12 UN;TACO;ESPARADRAPOS;MEDICOQUIRURGICOS
1909;"TRANSPORE 1"" CJ X 12 UN CUREBAND";CAJA;ESPARADRAPOS;MEDICOQUIRURGICOS
2000;"TRANSPORE 2"" X 10 YDAS CJ X 6 UN";TACO;ESPARADRAPOS;MEDICOQUIRURGICOS
1753;TRAVAD ENEMA SOLUCION RECTAL X 133 ML BAXTER;UNIDAD;SOLUCIONES;MEDICOQUIRURGICOS
3143;TUBO ENDOTRAQUEAL N° 2.5 S/B LIFE CARE;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1260;TUBO ENDOTRAQUEAL Nº 3.0 C/B LIFE CARE;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1233;TUBO ENDOTRAQUEAL Nº 3.0 S/B LIFE CARE;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1595;TUBO ENDOTRAQUEAL Nº 3.0 S/B PLUS VITAL;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1241;TUBO ENDOTRAQUEAL Nº 3.5 S/B PLUS VITAL;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2383;TUBO ENDOTRAQUEAL Nº 4.0 C/B LIFE CARE;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1234;TUBO ENDOTRAQUEAL Nº 4.0 S/B LIFE CARE;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1304;TUBO ENDOTRAQUEAL Nº 4.5 S/B LIFE CARE;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1462;TUBO ENDOTRAQUEAL Nº 5.0 C/B VYGON;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1242;TUBO ENDOTRAQUEAL Nº 5.0 S/B LIFE CARE;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1458;TUBO ENDOTRAQUEAL Nº 5.5 C/B VYGON;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2384;TUBO ENDOTRAQUEAL Nº 5.5 S/B LIFE ACRE;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1459;TUBO ENDOTRAQUEAL Nº 6.0 C/B VYGON;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1945;TUBO ENDOTRAQUEAL Nº 6.5 C/B COVIDIEN;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1460;TUBO ENDOTRAQUEAL Nº 6.5 C/B VYGON;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1239;TUBO ENDOTRAQUEAL Nº 6.5 S/B LIFE CARE;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1237;TUBO ENDOTRAQUEAL Nº 7.0 C/B VYGON;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1235;TUBO ENDOTRAQUEAL Nº 7.5 C/B VYGON;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1238;TUBO ENDOTRAQUEAL Nº 8.0 C/B PLUS VITAL;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1236;TUBO ENDOTRAQUEAL Nº 8.0 C/B VYGON;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1240;TUBO ENDOTRAQUEAL Nº 8.5 C/B VYGON;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1937;TUBO ENDOTRAQUEAL Nº 8.5 C/B WELL LEAD;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1461;TUBO ENDOTRAQUEAL Nº 9.0 C/B VYGON;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1946;TUBO ENDOTRAQUEAL Nº 9.0 C/B WELL LEAD;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1232;TUBO ENDOTRAQUEAL ORO NASAL S/B 4.0 STERIJECT RYMCO;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
